tar_lum,mat_lum,obs,background
60,35.54333333333332,sub3,homogeneous
281,333.8666666666666,sub3,homogeneous
89,81.53999999999999,sub3,homogeneous
281,346.6666666666667,sub3,homogeneous
120,101.56666666666665,sub3,homogeneous
60,35.54333333333332,sub3,homogeneous
155,144.6,sub3,homogeneous
242,284.5333333333333,sub3,homogeneous
155,149.2333333333333,sub3,homogeneous
242,288.63333333333327,sub3,homogeneous
40,22.693333333333328,sub3,homogeneous
242,259.8333333333333,sub3,homogeneous
60,38.636666666666656,sub3,homogeneous
40,26.94,sub3,homogeneous
199,227.13333333333327,sub3,homogeneous
25,8.539333333333332,sub3,homogeneous
89,86.86666666666667,sub3,homogeneous
199,197.2333333333333,sub4,variegated
25,21.16,sub4,variegated
25,18.25333333333333,sub4,variegated
89,99.46333333333332,sub4,variegated
60,58.51,sub4,variegated
60,67.19333333333333,sub4,variegated
199,191.3333333333333,sub4,variegated
25,20.436666666666667,sub4,variegated
120,169.5333333333333,sub4,variegated
242,281.1666666666667,sub4,variegated
199,177.5333333333333,sub4,variegated
312,333.8666666666666,sub4,variegated
281,277.6333333333334,sub4,variegated
89,103.40000000000002,sub4,variegated
199,182.93333333333328,sub4,variegated
199,194.13333333333327,sub4,variegated
242,277.6333333333334,sub4,variegated
242,281.1666666666667,sub4,variegated
25,21.97,sub4,variegated
40,38.636666666666656,sub4,variegated
40,36.58,sub4,variegated
120,120.06666666666665,sub4,variegated
155,139.7666666666667,sub4,variegated
312,266.7333333333333,sub4,variegated
312,314.2,sub4,variegated
281,306.9666666666667,sub4,variegated
199,194.13333333333327,sub4,variegated
40,31.46666666666667,sub4,variegated
281,266.7333333333333,sub4,variegated
155,169.5333333333333,sub4,variegated
281,306.9666666666667,sub4,variegated
281,277.6333333333334,sub4,variegated
242,273.9333333333333,sub4,variegated
60,67.19333333333333,sub4,variegated
89,67.19333333333333,sub4,variegated
60,78.25999999999999,sub4,variegated
120,128.3666666666667,sub4,variegated
120,113.46666666666664,sub4,variegated
155,172.1333333333333,sub4,variegated
89,68.60333333333334,sub4,variegated
312,263.2666666666667,sub4,variegated
199,277.6333333333334,sub4,variegated
281,273.9333333333333,sub4,variegated
120,149.2333333333333,sub4,variegated
40,28.70666666666667,sub4,variegated
25,21.97,sub4,variegated
89,117.5,sub4,variegated
312,349.9333333333333,sub4,variegated
242,224.3333333333333,sub4,variegated
155,156.8666666666667,sub4,variegated
89,47.95,sub4,variegated
281,299.3666666666666,sub4,variegated
40,32.44,sub4,variegated
120,117.5,sub4,variegated
199,205.80000000000004,sub4,variegated
89,84.96333333333331,sub4,variegated
60,64.18,sub4,variegated
60,60.02666666666665,sub4,variegated
155,159.1,sub4,variegated
40,33.46,sub4,variegated
242,249.7,sub4,variegated
120,128.3666666666667,sub4,variegated
312,295.83333333333326,sub4,variegated
281,281.1666666666667,sub4,variegated
312,306.9666666666667,sub4,variegated
242,227.13333333333327,sub4,variegated
60,61.28666666666666,sub4,variegated
60,68.60333333333334,sub4,variegated
312,303.5333333333333,sub4,variegated
40,37.603333333333325,sub4,variegated
25,31.46666666666667,sub4,variegated
155,132.8,sub4,variegated
155,132.8,sub4,variegated
120,111.36666666666669,sub4,variegated
60,49.19333333333332,sub4,variegated
155,154.2333333333333,sub4,variegated
89,111.36666666666669,sub4,variegated
40,50.44,sub4,variegated
199,217.80000000000004,sub4,variegated
155,151.69999999999996,sub4,variegated
40,36.58,sub4,variegated
89,88.75333333333333,sub4,variegated
281,333.8666666666666,sub4,variegated
312,346.6666666666667,sub4,variegated
120,159.1,sub4,variegated
242,277.6333333333334,sub4,variegated
25,20.436666666666667,sub4,variegated
242,263.2666666666667,sub4,variegated
89,88.75333333333333,sub4,variegated
60,58.51,sub4,variegated
312,314.2,sub4,variegated
25,27.80333333333333,sub4,variegated
25,18.25333333333333,sub4,variegated
120,103.40000000000002,sub4,variegated
199,154.2333333333333,sub4,variegated
25,21.16,sub4,variegated
281,259.8333333333333,sub4,variegated
40,30.553333333333324,sub4,variegated
242,231.1333333333333,sub4,variegated
155,167.5333333333333,sub4,variegated
199,249.7,sub4,homogeneous
25,13.133333333333335,sub4,homogeneous
25,11.476666666666665,sub4,homogeneous
