trial	context	image.fname	r	start_idx	match_lum
29	plain	stimuliSR/sub5/matching/29_plain_0.63	0.630000	0.464208	0.182208
30	dark	stimuliSR/sub5/matching/30_dark_0.63	0.630000	0.577007	0.093007
31	dark	stimuliSR/sub5/matching/31_dark_0.31	0.310000	0.945433	0.037433
32	dark	stimuliSR/sub5/matching/32_dark_0.11	0.110000	0.042205	0.028205
33	plain	stimuliSR/sub5/matching/33_plain_1.05	1.050000	0.432573	0.422573
34	dark	stimuliSR/sub5/matching/34_dark_0.19	0.190000	0.154526	0.040526
35	plain	stimuliSR/sub5/matching/35_plain_0.11	0.110000	0.761428	0.025428
36	plain	stimuliSR/sub5/matching/36_plain_0.82	0.820000	0.178750	0.280750
37	plain	stimuliSR/sub5/matching/37_plain_0.46	0.460000	0.727352	0.213352
38	light	stimuliSR/sub5/matching/38_light_0.11	0.110000	0.437810	0.127810
39	dark	stimuliSR/sub5/matching/39_dark_0.46	0.460000	0.039087	0.085087
40	dark	stimuliSR/sub5/matching/40_dark_0.19	0.190000	0.065983	0.040000
41	plain	stimuliSR/sub5/matching/41_plain_1.50	1.500000	0.359217	0.689217
42	dark	stimuliSR/sub5/matching/42_dark_1.05	1.050000	0.252832	0.230832
43	light	stimuliSR/sub5/matching/43_light_1.50	1.500000	0.978672	0.370672
44	dark	stimuliSR/sub5/matching/44_dark_0.63	0.630000	0.153848	0.087848
45	plain	stimuliSR/sub5/matching/45_plain_0.31	0.310000	0.085890	0.105890
46	plain	stimuliSR/sub5/matching/46_plain_0.82	0.820000	0.786489	0.306489
47	dark	stimuliSR/sub5/matching/47_dark_1.50	1.500000	0.952179	0.302179
48	light	stimuliSR/sub5/matching/48_light_0.19	0.190000	0.727313	0.153313
49	plain	stimuliSR/sub5/matching/49_plain_0.31	0.310000	0.226033	0.098033
50	light	stimuliSR/sub5/matching/50_light_0.82	0.820000	0.656186	0.272186
51	dark	stimuliSR/sub5/matching/51_dark_0.46	0.460000	0.010678	0.102678
52	plain	stimuliSR/sub5/matching/52_plain_1.50	1.500000	0.778852	0.698852
53	dark	stimuliSR/sub5/matching/53_dark_1.05	1.050000	0.879404	0.269404
54	dark	stimuliSR/sub5/matching/54_dark_1.67	1.670000	0.754412	0.368412
55	light	stimuliSR/sub5/matching/55_light_0.19	0.190000	0.688133	0.196133
56	plain	stimuliSR/sub5/matching/56_plain_0.82	0.820000	0.505556	0.315556
57	light	stimuliSR/sub5/matching/57_light_0.31	0.310000	0.991453	0.193453
58	light	stimuliSR/sub5/matching/58_light_0.11	0.110000	0.096034	0.132034
59	dark	stimuliSR/sub5/matching/59_dark_0.63	0.630000	0.199827	0.123827
60	plain	stimuliSR/sub5/matching/60_plain_0.19	0.190000	0.214122	0.058122
61	light	stimuliSR/sub5/matching/61_light_1.05	1.050000	0.708262	0.320262
62	light	stimuliSR/sub5/matching/62_light_1.50	1.500000	0.808399	0.416399
63	plain	stimuliSR/sub5/matching/63_plain_0.19	0.190000	0.726848	0.074848
64	light	stimuliSR/sub5/matching/64_light_0.31	0.310000	0.839634	0.127634
65	dark	stimuliSR/sub5/matching/65_dark_0.19	0.190000	0.932567	0.050567
66	dark	stimuliSR/sub5/matching/66_dark_1.29	1.290000	0.606123	0.264123
67	light	stimuliSR/sub5/matching/67_light_1.29	1.290000	0.325882	0.381882
68	dark	stimuliSR/sub5/matching/68_dark_0.19	0.190000	0.754345	0.046345
69	dark	stimuliSR/sub5/matching/69_dark_0.19	0.190000	0.019803	0.059803
70	dark	stimuliSR/sub5/matching/70_dark_0.11	0.110000	0.625294	0.037294
71	light	stimuliSR/sub5/matching/71_light_1.29	1.290000	0.885767	0.325767
72	light	stimuliSR/sub5/matching/72_light_0.46	0.460000	0.533169	0.197169
73	light	stimuliSR/sub5/matching/73_light_0.82	0.820000	0.186998	0.240998
74	plain	stimuliSR/sub5/matching/74_plain_1.05	1.050000	0.683712	0.443712
75	plain	stimuliSR/sub5/matching/75_plain_1.67	1.670000	0.832986	0.678986
76	dark	stimuliSR/sub5/matching/76_dark_0.46	0.460000	0.580580	0.080580
77	plain	stimuliSR/sub5/matching/77_plain_1.29	1.290000	0.685810	0.521810
78	dark	stimuliSR/sub5/matching/78_dark_0.11	0.110000	0.215252	0.029252
79	light	stimuliSR/sub5/matching/79_light_0.82	0.820000	0.856735	0.266735
80	light	stimuliSR/sub5/matching/80_light_1.29	1.290000	0.827783	0.367783
81	plain	stimuliSR/sub5/matching/81_plain_1.50	1.500000	0.510217	0.630217
82	dark	stimuliSR/sub5/matching/82_dark_1.67	1.670000	0.837095	0.407095
83	plain	stimuliSR/sub5/matching/83_plain_1.29	1.290000	0.572174	0.518174
84	light	stimuliSR/sub5/matching/84_light_1.29	1.290000	0.225895	0.331895
85	plain	stimuliSR/sub5/matching/85_plain_0.63	0.630000	0.761552	0.247552
86	light	stimuliSR/sub5/matching/86_light_1.50	1.500000	0.361173	0.341173
87	light	stimuliSR/sub5/matching/87_light_1.67	1.670000	0.669919	0.435919
88	light	stimuliSR/sub5/matching/88_light_0.19	0.190000	0.844129	0.132129
89	plain	stimuliSR/sub5/matching/89_plain_0.11	0.110000	0.472941	0.030000
90	plain	stimuliSR/sub5/matching/90_plain_1.50	1.500000	0.736175	0.606175
91	light	stimuliSR/sub5/matching/91_light_1.05	1.050000	0.164287	0.344287
92	plain	stimuliSR/sub5/matching/92_plain_1.05	1.050000	0.195719	0.415719
93	plain	stimuliSR/sub5/matching/93_plain_1.29	1.290000	0.241198	0.535198
94	light	stimuliSR/sub5/matching/94_light_0.31	0.310000	0.524851	0.166851
95	light	stimuliSR/sub5/matching/95_light_1.29	1.290000	0.336349	0.340349
96	plain	stimuliSR/sub5/matching/96_plain_1.29	1.290000	0.656387	0.550387
97	plain	stimuliSR/sub5/matching/97_plain_0.63	0.630000	0.165682	0.191682
98	plain	stimuliSR/sub5/matching/98_plain_0.19	0.190000	0.899838	0.061838
99	light	stimuliSR/sub5/matching/99_light_1.67	1.670000	0.020866	0.374866
100	dark	stimuliSR/sub5/matching/100_dark_0.11	0.110000	0.439348	0.021348
101	dark	stimuliSR/sub5/matching/101_dark_0.82	0.820000	0.662705	0.152705
102	plain	stimuliSR/sub5/matching/102_plain_0.63	0.630000	0.446697	0.234697
103	light	stimuliSR/sub5/matching/103_light_0.31	0.310000	0.532320	0.160320
104	light	stimuliSR/sub5/matching/104_light_0.82	0.820000	0.079676	0.243676
105	light	stimuliSR/sub5/matching/105_light_1.05	1.050000	0.004286	0.306286
106	plain	stimuliSR/sub5/matching/106_plain_1.05	1.050000	0.445816	0.435816
107	light	stimuliSR/sub5/matching/107_light_1.67	1.670000	0.522231	0.442231
108	dark	stimuliSR/sub5/matching/108_dark_1.29	1.290000	0.716214	0.324214
109	plain	stimuliSR/sub5/matching/109_plain_0.46	0.460000	0.091537	0.181537
110	dark	stimuliSR/sub5/matching/110_dark_0.19	0.190000	0.584646	0.040646
111	plain	stimuliSR/sub5/matching/111_plain_1.67	1.670000	0.322269	0.682269
112	plain	stimuliSR/sub5/matching/112_plain_0.63	0.630000	0.145912	0.245912
113	light	stimuliSR/sub5/matching/113_light_0.19	0.190000	0.502940	0.134940
114	plain	stimuliSR/sub5/matching/114_plain_1.50	1.500000	0.384715	0.584715
115	light	stimuliSR/sub5/matching/115_light_0.31	0.310000	0.367513	0.157513
116	plain	stimuliSR/sub5/matching/116_plain_0.11	0.110000	0.940679	0.026679
117	plain	stimuliSR/sub5/matching/117_plain_0.11	0.110000	0.941501	0.039501
118	plain	stimuliSR/sub5/matching/118_plain_1.05	1.050000	0.103126	0.423126
119	plain	stimuliSR/sub5/matching/119_plain_0.82	0.820000	0.608913	0.292913
120	dark	stimuliSR/sub5/matching/120_dark_0.11	0.110000	0.275403	0.029403
121	plain	stimuliSR/sub5/matching/121_plain_1.05	1.050000	0.303331	0.467331
122	plain	stimuliSR/sub5/matching/122_plain_0.19	0.190000	0.509531	0.049531
123	dark	stimuliSR/sub5/matching/123_dark_1.29	1.290000	0.675824	0.283824
124	dark	stimuliSR/sub5/matching/124_dark_1.50	1.500000	0.687333	0.311333
125	dark	stimuliSR/sub5/matching/125_dark_1.05	1.050000	0.048875	0.250875
126	dark	stimuliSR/sub5/matching/126_dark_0.63	0.630000	0.783768	0.117768
127	light	stimuliSR/sub5/matching/127_light_0.82	0.820000	0.589503	0.229503
128	light	stimuliSR/sub5/matching/128_light_0.82	0.820000	0.384002	0.244002
129	light	stimuliSR/sub5/matching/129_light_0.63	0.630000	0.030693	0.202693
130	plain	stimuliSR/sub5/matching/130_plain_1.05	1.050000	0.525660	0.431660
131	light	stimuliSR/sub5/matching/131_light_1.05	1.050000	0.049664	0.343664
132	light	stimuliSR/sub5/matching/132_light_0.63	0.630000	0.210837	0.176837
133	plain	stimuliSR/sub5/matching/133_plain_0.63	0.630000	0.978067	0.212067
134	dark	stimuliSR/sub5/matching/134_dark_1.29	1.290000	0.758943	0.282943
135	dark	stimuliSR/sub5/matching/135_dark_0.63	0.630000	0.745599	0.089599
136	dark	stimuliSR/sub5/matching/136_dark_1.50	1.500000	0.022351	0.282000
137	dark	stimuliSR/sub5/matching/137_dark_0.46	0.460000	0.709377	0.101377
